family,level,kernel,time_aug,basepoint,lead_lag,normalise,path_scale,actions,n_steps,score_s,us_per_step,eval_s,best_TWA,TPR,TNR,at,auroc,score_cv,task,stage,scaling,theta
sigtc,5,lin,True,False,False,False,3.0333,position,242,0.68,2827.4,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.99/w1,0.99,6.041743692591006,push_chair,scale,tv_norm,3.0333
sigmmd,5,lin,True,False,False,False,3.0333,position,242,0.48,1970.8,0.3,0.8238099813461304,1.0,0.8999999761581421,tvt_cp_band/q0.9/w7,0.95,7.268873489433994,push_chair,scale,tv_norm,3.0333
sigvar,1,lin,True,False,False,False,1.0,position,1661,0.4,242.1,0.4,0.6768119931221008,0.800000011920929,0.699999988079071,tvt_cp_band/q0.9/w3,0.29,0.9055197154315616,pretzel,scale,raw,10.6832
sigtc,1,lin,True,False,False,False,1.0,position,1661,0.15,90.6,0.4,0.7021740078926086,1.0,0.6000000238418579,tvt_cp_band/q0.93/w2,0.25,2.854373925245513,pretzel,scale,raw,10.6832
sigmmd,1,lin,True,False,False,False,1.0,position,1661,0.15,89.7,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.9/w5,0.56,1.1100780186259465,pretzel,scale,raw,10.6832
sigvar,2,lin,True,False,False,False,1.0,position,1661,0.42,249.9,0.4,0.6195650100708008,0.800000011920929,0.6000000238418579,tvt_cp_band/q0.9/w2,0.29000000000000004,0.8710717589239395,pretzel,scale,raw,10.6832
sigtc,2,lin,True,False,False,False,1.0,position,1661,0.61,364.3,0.5,0.6731879711151123,0.8999999761581421,0.699999988079071,tvt_cp_band/q0.9/w5,0.25,2.821348346944105,pretzel,scale,raw,10.6832
sigmmd,2,lin,True,False,False,False,1.0,position,1661,0.6,361.2,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.9/w5,0.5700000000000001,1.1061943702163024,pretzel,scale,raw,10.6832
sigvar,3,lin,True,False,False,False,1.0,position,1661,0.46,278.5,0.4,0.6630430221557617,0.800000011920929,0.699999988079071,tvt_cp_band/q0.99/w2,0.3,0.8646813524494732,pretzel,scale,raw,10.6832
sigtc,3,lin,True,False,False,False,1.0,position,1661,0.56,337.3,0.5,0.6731879711151123,0.8999999761581421,0.699999988079071,tvt_cp_band/q0.9/w5,0.25,2.815037337089912,pretzel,scale,raw,10.6832
sigmmd,3,lin,True,False,False,False,1.0,position,1661,0.77,464.2,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.91/w5,0.5800000000000001,1.105516936674977,pretzel,scale,raw,10.6832
sigvar,4,lin,True,False,False,False,1.0,position,1661,0.16,99.1,0.4,0.6195650100708008,0.800000011920929,0.6000000238418579,tvt_cp_band/q0.9/w2,0.3,0.8639833695245133,pretzel,scale,raw,10.6832
sigtc,4,lin,True,False,False,False,1.0,position,1661,0.59,354.3,0.4,0.6731879711151123,0.8999999761581421,0.699999988079071,tvt_cp_band/q0.9/w5,0.25,2.8143759656162786,pretzel,scale,raw,10.6832
sigmmd,4,lin,True,False,False,False,1.0,position,1661,0.22,133.0,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.91/w5,0.5800000000000001,1.1054630032412651,pretzel,scale,raw,10.6832
sigvar,5,lin,True,False,False,False,1.0,position,1661,0.5,300.4,0.6,0.6195650100708008,0.800000011920929,0.6000000238418579,tvt_cp_band/q0.9/w2,0.29,0.8639536530864425,pretzel,scale,raw,10.6832
sigtc,5,lin,True,False,False,False,1.0,position,1661,0.39,232.8,0.4,0.6731879711151123,0.8999999761581421,0.699999988079071,tvt_cp_band/q0.9/w5,0.25,2.8143777696919203,pretzel,scale,raw,10.6832
sigmmd,5,lin,True,False,False,False,1.0,position,1661,0.78,469.2,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.91/w5,0.5800000000000001,1.105448465796409,pretzel,scale,raw,10.6832
sigvar,1,lin,True,False,False,False,10.6832,position,1661,0.68,411.6,0.4,0.6768119931221008,0.800000011920929,0.699999988079071,tvt_cp_band/q0.9/w3,0.29,0.905746896870854,pretzel,scale,tv_norm,10.6832
sigtc,1,lin,True,False,False,False,10.6832,position,1661,0.36,216.5,0.4,0.7043480277061462,1.0,0.6000000238418579,tvt_cp_band/q0.93/w2,0.25,2.854358929293,pretzel,scale,tv_norm,10.6832
sigmmd,1,lin,True,False,False,False,10.6832,position,1661,0.45,271.0,0.4,0.6065220236778259,0.6000000238418579,0.800000011920929,tvt_cp_band/q0.9/w1,0.24,0.5241462443555484,pretzel,scale,tv_norm,10.6832
sigvar,2,lin,True,False,False,False,10.6832,position,1661,0.16,97.1,0.6,0.6637679934501648,0.800000011920929,0.699999988079071,tvt_cp_band/q0.9/w1,0.15,1.1353591525614797,pretzel,scale,tv_norm,10.6832
sigtc,2,lin,True,False,False,False,10.6832,position,1661,0.15,92.4,0.4,0.6717389822006226,1.0,0.6000000238418579,tvt_cp_band/q0.95/w2,0.26,2.80250983126844,pretzel,scale,tv_norm,10.6832
sigmmd,2,lin,True,False,False,False,10.6832,position,1661,0.14,87.0,0.4,0.6268119812011719,0.8999999761581421,0.800000011920929,ct_quantile/q0.9/w13,0.23000000000000004,0.014015137758912628,pretzel,scale,tv_norm,10.6832
sigvar,3,lin,True,False,False,False,10.6832,position,1661,0.15,90.0,0.4,0.7608699798583984,0.8999999761581421,0.699999988079071,tvt_quantile/q0.96/w45,0.36,1.3695933769554889,pretzel,scale,tv_norm,10.6832
sigtc,3,lin,True,False,False,False,10.6832,position,1661,0.39,233.4,0.4,0.6739130020141602,1.0,0.6000000238418579,tvt_cp_band/q0.9/w2,0.25,2.7818402364353734,pretzel,scale,tv_norm,10.6832
sigmmd,3,lin,True,False,False,False,10.6832,position,1661,0.14,83.5,0.4,0.5934780240058899,0.800000011920929,0.800000011920929,ct_quantile/q0.98/w7,0.24000000000000005,0.004633517848859778,pretzel,scale,tv_norm,10.6832
sigvar,4,lin,True,False,False,False,10.6832,position,1661,0.23,139.4,0.4,0.8086959719657898,1.0,0.699999988079071,tvt_quantile/q0.92/w45,0.4,1.4917800960399652,pretzel,scale,tv_norm,10.6832
sigtc,4,lin,True,False,False,False,10.6832,position,1661,0.54,326.9,0.4,0.6739130020141602,1.0,0.6000000238418579,tvt_cp_band/q0.9/w2,0.26,2.7744619075969994,pretzel,scale,tv_norm,10.6832
sigmmd,4,lin,True,False,False,False,10.6832,position,1661,0.7,419.4,0.5,0.6239129900932312,0.8999999761581421,0.800000011920929,ct_quantile/q0.92/w25,0.25,0.0003814030481728743,pretzel,scale,tv_norm,10.6832
sigvar,5,lin,True,False,False,False,10.6832,position,1661,0.78,468.7,0.4,0.8086959719657898,1.0,0.699999988079071,tvt_quantile/q0.93/w45,0.41999999999999993,1.5312733587544483,pretzel,scale,tv_norm,10.6832
sigtc,5,lin,True,False,False,False,10.6832,position,1661,0.45,268.2,0.4,0.6739130020141602,1.0,0.6000000238418579,tvt_cp_band/q0.9/w2,0.26,2.772772613077649,pretzel,scale,tv_norm,10.6832
sigmmd,5,lin,True,False,False,False,10.6832,position,1661,0.54,323.0,0.4,0.6434779763221741,0.800000011920929,0.8999999761581421,ct_quantile/q0.99/w7,0.32999999999999996,8.672579958228522e-05,pretzel,scale,tv_norm,10.6832
sigvar,1,lin,True,False,False,False,1.0,position,21200,6.84,322.5,1.8,0.5794010162353516,0.7448279857635498,0.6470590233802795,tvt_quantile/q0.91/w40,0.5729682217714671,0.9016409181379934,sorting,scale,raw,492.855
sigtc,1,lin,True,False,False,False,1.0,position,21200,6.92,326.6,1.7,0.5922179818153381,0.6620690226554871,0.800000011920929,tvt_quantile/q0.99/w45,0.633766058147397,1.9972561785112388,sorting,scale,raw,492.855
sigmmd,1,lin,True,False,False,False,1.0,position,21200,6.46,304.7,1.7,0.5166450142860413,0.14482800662517548,0.9098039865493774,tvt_cp_band/q0.92/w45,0.26792427315753886,0.756449938546695,sorting,scale,raw,492.855
sigvar,2,lin,True,False,False,False,1.0,position,21200,7.25,342.1,1.7,0.5765900015830994,0.6620690226554871,0.8313729763031006,tvt_quantile/q0.98/w50,0.5921974306964164,0.8298421961059196,sorting,scale,raw,492.855
sigtc,2,lin,True,False,False,False,1.0,position,21200,6.94,327.6,1.9,0.590595006942749,0.4758619964122772,0.8588240146636963,ct_quantile/q0.92/w7,0.6403380662609871,2.0668854423916265,sorting,scale,raw,492.855
sigmmd,2,lin,True,False,False,False,1.0,position,21200,6.17,291.0,1.7,0.516077995300293,0.20000000298023224,0.9019610285758972,tvt_cp_band/q0.98/w9,0.2693711967545639,0.7734558990278888,sorting,scale,raw,492.855
sigvar,3,lin,True,False,False,False,1.0,position,21200,6.3,297.0,1.7,0.5646250247955322,0.6758620142936707,0.792156994342804,tvt_quantile/q0.98/w50,0.5638674780256929,0.8017012600955304,sorting,scale,raw,492.855
sigtc,3,lin,True,False,False,False,1.0,position,21200,6.47,305.0,1.7,0.5833410024642944,0.7172409892082214,0.6745100021362305,tvt_quantile/q0.99/w45,0.6556186612576065,1.846323307976303,sorting,scale,raw,492.855
sigmmd,3,lin,True,False,False,False,1.0,position,21200,7.54,355.9,1.8,0.5190200209617615,0.2758620083332062,0.8588240146636963,tvt_cp_band/q0.93/w7,0.2639891818796484,0.776137020058321,sorting,scale,raw,492.855
sigvar,4,lin,True,False,False,False,1.0,position,21200,7.13,336.1,1.7,0.562595009803772,0.6689659953117371,0.764706015586853,tvt_quantile/q0.97/w40,0.589344151453685,0.8173854377805031,sorting,scale,raw,492.855
sigtc,4,lin,True,False,False,False,1.0,position,21200,6.05,285.4,1.8,0.5930899977684021,0.7793099880218506,0.6352940201759338,tvt_quantile/q0.94/w45,0.6531845841784989,1.8865021549354934,sorting,scale,raw,492.855
sigmmd,4,lin,True,False,False,False,1.0,position,21200,6.69,315.8,1.8,0.5099830031394958,0.3586210012435913,0.8117650151252747,tvt_cp_band/q0.98/w1,0.2645030425963489,0.7686464017973456,sorting,scale,raw,492.855
sigvar,5,lin,True,False,False,False,1.0,position,21200,6.5,306.7,1.8,0.5768870115280151,0.6689659953117371,0.800000011920929,tvt_quantile/q0.98/w50,0.6020148749154834,0.7991154584744083,sorting,scale,raw,492.855
sigtc,5,lin,True,False,False,False,1.0,position,21200,7.1,334.7,1.7,0.5886629819869995,0.4965519905090332,0.8352940082550049,ct_quantile/q0.92/w7,0.6412846517917512,1.8604901962262184,sorting,scale,raw,492.855
sigmmd,5,lin,True,False,False,False,1.0,position,21200,6.82,321.5,1.7,0.5145379900932312,0.10344800353050232,0.9490200281143188,tvt_cp_band/q0.93/w45,0.2648411088573361,0.7774387168349078,sorting,scale,raw,492.855
sigvar,1,lin,True,False,False,False,492.855,position,21200,5.46,257.5,1.8,0.5924999713897705,0.7862070202827454,0.5529410243034363,tvt_quantile/q0.9/w50,0.590682893847194,0.7721077356730225,sorting,scale,tv_norm,492.855
sigtc,1,lin,True,False,False,False,492.855,position,21200,6.88,324.5,1.8,0.5844749808311462,0.5379310250282288,0.792156994342804,ct_quantile/q0.92/w5,0.6457336037863421,2.0541649266263318,sorting,scale,tv_norm,492.855
sigmmd,1,lin,True,False,False,False,492.855,position,21200,7.33,345.6,1.7,0.5644239783287048,0.6551719903945923,0.7764710187911987,tvt_cp_band/q0.9/w40,0.3896686950642326,0.007871324299310983,sorting,scale,tv_norm,492.855
sigvar,2,lin,True,False,False,False,492.855,position,21200,4.16,196.2,1.8,0.576216995716095,0.7586209774017334,0.5803920030593872,tvt_quantile/q0.9/w50,0.5731710615280595,0.7167753655309328,sorting,scale,tv_norm,492.855
sigtc,2,lin,True,False,False,False,492.855,position,21200,7.94,374.3,1.8,0.5878840088844299,0.5379310250282288,0.800000011920929,ct_quantile/q0.92/w5,0.6441920216362407,2.021917543258316,sorting,scale,tv_norm,492.855
sigmmd,2,lin,True,False,False,False,492.855,position,21200,5.88,277.3,1.7,0.5955889821052551,0.765516996383667,0.6666669845581055,tvt_quantile/q0.97/w40,0.6035564570655848,3.944392655501994e-06,sorting,scale,tv_norm,492.855
sigvar,3,lin,True,False,False,False,492.855,position,21200,7.06,333.1,1.8,0.577987015247345,0.7517240047454834,0.5803920030593872,tvt_quantile/q0.9/w50,0.5616227180527383,0.7026639009044049,sorting,scale,tv_norm,492.855
sigtc,3,lin,True,False,False,False,492.855,position,21200,5.9,278.4,1.7,0.5878840088844299,0.5379310250282288,0.800000011920929,ct_quantile/q0.92/w5,0.6442190669371196,2.013835236150977,sorting,scale,tv_norm,492.855
sigmmd,3,lin,True,False,False,False,492.855,position,21200,6.28,296.0,1.7,0.5714640021324158,0.6482759714126587,0.8313729763031006,tvt_quantile/q0.99/w50,0.3063556457065585,4.32435187345034e-08,sorting,scale,tv_norm,492.855
sigvar,4,lin,True,False,False,False,492.855,position,21200,6.03,284.4,1.7,0.5802239775657654,0.7586209774017334,0.5803920030593872,tvt_quantile/q0.9/w50,0.5577552400270452,0.6998670822439617,sorting,scale,tv_norm,492.855
sigtc,4,lin,True,False,False,False,492.855,position,21200,6.21,292.8,1.8,0.5878840088844299,0.5379310250282288,0.800000011920929,ct_quantile/q0.92/w5,0.6441108857336039,2.012773661838642,sorting,scale,tv_norm,492.855
sigmmd,4,lin,True,False,False,False,492.855,position,21200,6.49,306.1,1.5,0.5113829970359802,0.5379310250282288,0.9137250185012817,tvt_quantile/q0.9/w2,0.5,0.0,sorting,scale,tv_norm,492.855
sigvar,5,lin,True,False,False,False,492.855,position,21200,6.23,294.0,1.7,0.5802239775657654,0.7586209774017334,0.5803920030593872,tvt_quantile/q0.9/w50,0.5569709263015551,0.6995025617410939,sorting,scale,tv_norm,492.855
sigtc,5,lin,True,False,False,False,492.855,position,21200,6.38,301.1,1.9,0.5878840088844299,0.5379310250282288,0.800000011920929,ct_quantile/q0.92/w5,0.6441108857336039,2.0126984861655246,sorting,scale,tv_norm,492.855
sigmmd,5,lin,True,False,False,False,492.855,position,21200,7.42,350.0,1.5,0.5113829970359802,0.5379310250282288,0.9137250185012817,tvt_quantile/q0.9/w2,0.5,0.0,sorting,scale,tv_norm,492.855
sigvar,1,lin,True,False,False,False,1.0,position,10910,7.5,687.1,1.2,0.5793629884719849,0.9343429803848267,0.5098040103912354,tvt_quantile/q0.91/w13,0.6734006734006733,2.1827565804044706,push_t,scale,raw,0.0099
sigtc,1,lin,True,False,False,False,1.0,position,10910,7.06,647.4,1.2,0.607787013053894,0.7424240112304688,0.8725489974021912,ct_quantile/q0.94/w40,0.774212715389186,2.410148101567259,push_t,scale,raw,0.0099
sigmmd,1,lin,True,False,False,False,1.0,position,10910,6.72,615.9,1.3,0.5542110204696655,0.2676770091056824,0.8725489974021912,ct_quantile/q0.9/w1,0.5809566250742721,1.4698646165310545,push_t,scale,raw,0.0099
sigvar,2,lin,True,False,False,False,1.0,position,10910,8.46,775.4,1.2,0.5675560235977173,0.9141409993171692,0.5098040103912354,tvt_quantile/q0.93/w15,0.6509704892057834,4.337420899809102,push_t,scale,raw,0.0099
sigtc,2,lin,True,False,False,False,1.0,position,10910,7.07,647.7,1.2,0.5997530221939087,0.7676770091056824,0.7450979948043823,ct_quantile/q0.9/w35,0.7076648841354723,4.352643317321465,push_t,scale,raw,0.0099
sigmmd,2,lin,True,False,False,False,1.0,position,10910,6.99,640.9,1.2,0.561244010925293,0.797980010509491,0.6470590233802795,tvt_quantile/q0.93/w35,0.6072489601901366,3.6650899999247772,push_t,scale,raw,0.0099
sigvar,3,lin,True,False,False,False,1.0,position,10910,9.28,850.3,1.2,0.5751349925994873,0.9242420196533203,0.450980007648468,tvt_cp_band/q0.96/w20,0.6381956823133293,6.219894805093952,push_t,scale,raw,0.0099
sigtc,3,lin,True,False,False,False,1.0,position,10910,8.44,773.3,1.2,0.5739669799804688,0.8333330154418945,0.5686269998550415,tvt_quantile/q0.99/w11,0.676866706278471,10.686431203831075,push_t,scale,raw,0.0099
sigmmd,3,lin,True,False,False,False,1.0,position,10910,8.49,777.9,1.2,0.570052981376648,0.8383839726448059,0.5882350206375122,tvt_quantile/q0.9/w35,0.617448999801941,6.740894640265788,push_t,scale,raw,0.0099
sigvar,4,lin,True,False,False,False,1.0,position,10910,9.8,897.9,1.2,0.5648819804191589,0.8888890147209167,0.5196080207824707,tvt_quantile/q0.94/w20,0.6353238265002972,8.62945227638846,push_t,scale,raw,0.0099
sigtc,4,lin,True,False,False,False,1.0,position,10910,8.3,761.1,1.3,0.5556640028953552,0.5757579803466797,0.7450979948043823,ct_quantile/q0.99/w30,0.6583481877599524,26.205542770010695,push_t,scale,raw,0.0099
sigmmd,4,lin,True,False,False,False,1.0,position,10910,10.13,928.4,1.2,0.5743680000305176,0.7878789901733398,0.6862750053405762,tvt_quantile/q0.94/w20,0.6228461081402257,11.979063981879687,push_t,scale,raw,0.0099
sigvar,5,lin,True,False,False,False,1.0,position,10910,10.58,969.8,1.2,0.5694829821586609,0.8181819915771484,0.6078429818153381,tvt_quantile/q0.98/w13,0.6375024757377699,12.360545349019555,push_t,scale,raw,0.0099
sigtc,5,lin,True,False,False,False,1.0,position,10910,10.9,999.1,1.2,0.5534600019454956,0.9040399789810181,0.37254899740219116,tvt_quantile/q0.93/w13,0.650821944939592,47.10096766022137,push_t,scale,raw,0.0099
