task,method,train_episodes,train_steps,test_episodes,test_steps,fit_s,offline_s,online_ms,TWA,Accuracy,Det. Time,Window,ThresholdStyle,single_step_ms,load,train,fit,score_calibration,score_test,thresholds,metrics,window_calibration,window_test
pretzel,entropy,2,103,20,1144,0.0532162939780391,0.2203135688614565,1.5593525534129369,0.6608700156211853,0.8500000238418579,0.378260999917984,1,tvt_cp_band,,0.0002052990021184,0.0,0.0530109949759207,0.1695512130099814,1.810958555986872,0.1582105259876698,0.3116773279907647,0.002453938126564,0.027059234882472
pretzel,entropy,4,205,20,1144,0.041647576028481,0.36404508704436,1.573262643191143,0.6845655024051667,0.7399999976158143,0.110869500786066,45,tvt_quantile,,0.0001973080215975,0.0,0.0414502680068835,0.3273515829932876,1.8268546869803688,0.1698610660096164,0.3076599680061918,0.0049540719774086,0.0270422231697011
pretzel,entropy,6,311,20,1144,0.0358114410191774,0.5188439120538534,1.5344610910433658,0.7683332026004791,0.8250000178813934,0.1133330017328262,45,tvt_quantile,,0.0001982130052056,0.0,0.0356132280139718,0.4903436760068871,1.782167291996302,0.1783594520238693,0.3104136420006398,0.0073112049722112,0.0267438038426917
pretzel,entropy,8,414,20,1144,0.037216158991213805,0.6691075809649191,1.5888582597876624,0.7580435872077942,0.8250000178813934,0.1339131996035575,45,tvt_quantile,,0.0002055639924947,0.0,0.0370105949987191,0.6414530560141429,1.8447413360117932,0.1799946799874305,0.3116793830122333,0.0095616340404376,0.0270874868147075
pretzel,entropy,10,517,20,1144,0.1049298959842417,0.9672667247068604,1.6283751590801419,0.7534059882164001,0.8200000166893006,0.1331886008381843,45,tvt_quantile,,0.0002428939915262,0.0,0.1046870019927155,0.8755169900250621,1.891707853996195,0.2038084329979028,0.3497218109841924,0.0131801613024435,0.0288466720085125
pretzel,kern_cd_flat,2,103,20,1144,3.655323500977829,3.8570032429124694,0.16191633490147886,0.756521999835968,0.8999999761581421,0.2869569957256317,1,ct_quantile,4.343286634975812,0.0002268319949507,0.0,3.6550966689828783,0.2059604069800116,0.2153615040006116,0.1665958910016343,0.2869670839863829,0.0042806650453712,0.0301292168733198
pretzel,kern_cd_flat,4,205,20,1144,35.18849322802271,35.380639495910145,0.25554985943933395,0.7526809096336364,0.8999999761581421,0.2946375012397766,7,ct_quantile,4.343286634975812,0.0002151960215996,0.0,35.18827803200111,0.2058139180007856,0.3197132149944082,0.1863158310006838,0.2860794410225935,0.0136676501133479,0.0273641757958102
pretzel,kern_cd_flat,6,311,20,1144,0.1503448719740844,0.3876923860807436,0.18734644592794186,0.7568114042282105,0.8999999761581421,0.2863766998052597,13,ct_quantile,4.343286634975812,0.0002461929980199,0.0,0.1500986789760645,0.2502280900080222,0.2636101910029538,0.1852461820235476,0.2838366169889923,0.012880575901363,0.0492858568613883
pretzel,kern_cd_flat,8,414,20,1144,0.1476108840142841,0.3560282367980107,0.20017826845124528,0.7513043999671936,0.8999999761581421,0.2973913967609405,13,ct_quantile,4.343286634975812,0.0002064400177914,0.0,0.1474044439964927,0.2316820660198573,0.2759982370189391,0.1963561100128572,0.287129411008209,0.0232647132361307,0.0469942979107145
pretzel,kern_cd_flat,10,517,20,1144,0.1866479070158674,0.43142050987808017,0.28553585816171495,0.753043794631958,0.8999999761581421,0.293913209438324,11,ct_quantile,4.343286634975812,0.0002703469945117,0.0,0.1863775600213557,0.2614254140062257,0.3567054589802865,0.2070573559904005,0.3098322809964884,0.0166528111440129,0.0300524372432846
pretzel,kern_cd_flat_eploo,2,103,20,1144,0.1311541279719676,0.2791418159904423,0.18161003431264588,0.7782610058784485,0.949999988079071,0.3434779942035675,2,ct_quantile,,0.0002379129873588,0.0,0.1309162149846088,0.1525991490052547,0.239290242025163,0.177825794002274,0.2864908880146686,0.00461146098678,0.0315283627714961
pretzel,kern_cd_flat_eploo,4,205,20,1144,22.043789036019007,22.244882948027225,0.17181421139389869,0.7472464919090271,0.8999999761581421,0.3055071979761123,1,ct_quantile,,0.0002343810047022,0.0,22.043554655014304,0.2079212479875423,0.2424372899986338,0.1685946299985516,0.2932946030050516,0.0068273359793238,0.0458818321640137
pretzel,kern_cd_flat_eploo,6,311,20,1144,0.1415413350332528,0.29593672414193867,0.18673776485611224,0.748840594291687,0.8999999761581421,0.3023189008235931,9,ct_quantile,,0.0002257100131828,0.0,0.14131562502007,0.1761306999833323,0.24630046801758,0.1828695439908187,0.2905769020144362,0.0217353108746465,0.0326724650221876
pretzel,kern_cd_flat_eploo,8,414,20,1144,0.15270307197351932,0.32565089393756347,0.20596782539090325,0.7434059917926789,0.8999999761581421,0.313188499212265,9,ct_quantile,,0.0002314199809916,0.0,0.1524716519925277,0.1833381399919744,0.2691485669929534,0.1866257769870571,0.2890672709909268,0.0103903180279303,0.0335213747457601
pretzel,kern_cd_flat_eploo,10,517,20,1144,0.19001843497972,0.410480581864249,0.21781568457490533,0.7463769912719727,0.8999999761581421,0.3072459995746612,7,ct_quantile,,0.0002131279907189,0.0,0.1898053069890011,0.2367060800024774,0.2788414469978306,0.1965261420118622,0.2883762960263993,0.0162439331179484,0.0296603038441389
pretzel,kern_cd_obs,2,103,20,1144,7.540666348009836,7.64157995392452,0.05332625053730996,0.7492750287055969,0.8999999761581421,0.3014490008354187,3,ct_quantile,0.4513320099795237,0.0002251600089948,0.0,7.540441188000841,0.1051954819995444,0.1122180639940779,0.183904841018375,0.2747473579947836,0.0042818760848604,0.0512128333793953
pretzel,kern_cd_obs,4,205,20,1144,33.08445316099096,33.14471668409533,0.07452197927819608,0.7479709029197693,0.8999999761581421,0.304058101773262,7,ct_quantile,0.4513320099795237,0.0002043370041064,0.0,33.084248823986854,0.0669218219991307,0.1211493389855604,0.1936754659982398,0.2850711620121728,0.0066582988947629,0.0358961946913041
pretzel,kern_cd_obs,6,311,20,1144,0.025540218979585798,0.0826565109309739,0.10114550337942735,0.7555072069168091,0.8999999761581421,0.2889855027198791,9,ct_quantile,0.4513320099795237,0.0002098209806717,0.0,0.0253303979989141,0.0645344310032669,0.142582325002877,0.1754168730112724,0.2862660459941253,0.0074181390518788,0.0268718691368121
pretzel,kern_cd_obs,8,414,20,1144,0.046252165979240006,0.0972792521642986,0.04137315637988881,0.7500000953674316,0.8999999761581421,0.3000001043081283,15,ct_quantile,0.4513320099795237,0.0002199969894718,0.0,0.0460321689897682,0.0608845780079718,0.0741686669935006,0.1841054180113133,0.2725492650060914,0.0098574918229132,0.0268377760949078
pretzel,kern_cd_obs,10,517,20,1144,0.14918314199894658,0.2728392299613915,0.050751131941349475,0.7499276041984558,0.8999999761581421,0.3001449018716812,11,ct_quantile,0.4513320099795237,0.0002735579910222,0.0,0.1489095840079244,0.1371301659964956,0.086860350013012,0.2108000009902753,0.3094431990175508,0.0134740780340507,0.0288010550721082
